Review,Liked,reviews_cleaned,reviews_cleaned_stopwords
Reasonably priced also!,1,reasonably priced also,reasonably priced also
Everything was perfect the night we were in.,1,everything was perfect the night we were in,everything perfect night
The food is very good for your typical bar food.,1,the food is very good for your typical bar food,food good typical bar food
it was a drive to get there.,0,it was a drive to get there,drive get
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1,at first glance it is a lovely bakery cafe nice ambiance clean friendly staff,first glance lovely bakery cafe nice ambiance clean friendly staff
"Anyway, I do not think i will go back there.",0,anyway i do not think i will go back there,anyway think go back
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,point your finger at any item on the menu order it and you will not be disappointed,point finger item menu order disappointed
"Oh this is such a thing of beauty, this restaurant.",1,oh this is such a thing of beauty this restaurant,oh thing beauty restaurant
If you haven't gone here GO NOW!,1,if you have not gone here go now,gone go
"A greasy, unhealthy meal.",0,a greasy unhealthy meal,greasy unhealthy meal
first time there and might just be the last.,0,first time there and might just be the last,first time might last
Those burgers were amazing.,1,those burgers were amazing,burgers amazing
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,similarly the delivery man did not say a word of apology when our food was 45 minutes late,similarly delivery man say word apology food 45 minutes late
And it was way to expensive.,0,and it was way to expensive,way expensive
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,be sure to order dessert even if you need to pack it to-go the tiramisu and cannoli are both to die for,sure order dessert even need pack to-go tiramisu cannoli die
This was my first time and I can't wait until the next.,1,this was my first time and i can not wait until the next,first time wait next
The bartender was also nice.,1,the bartender was also nice,bartender also nice
Everything was good and tasty!,1,everything was good and tasty,everything good tasty
This place is two thumbs up....way up.,1,this place is two thumbs up .... way up,place two thumbs .... way
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,the best place in vegas for breakfast just check out a sat or sun,best place vegas breakfast check sat sun
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place,love authentic mexican food want whole bunch interesting yet delicious meats choose need try place
Terrible management.,0,terrible management,terrible management
An excellent new restaurant by an experienced Frenchman.,1,an excellent new restaurant by an experienced frenchman,excellent new restaurant experienced frenchman
If there were zero stars I would give it zero stars.,0,if there were zero stars i would give it zero stars,zero stars would give zero stars
"Great steak, great sides, great wine, amazing desserts.",1,great steak great sides great wine amazing desserts,great steak great sides great wine amazing desserts
Worst martini ever!,0,worst martini ever,worst martini ever
The steak and the shrimp are in my opinion the best entrees at GC.,1,the steak and the shrimp are in my opinion the best entrees at gc,steak shrimp opinion best entrees gc
I had the opportunity today to sample your amazing pizzas!,1,i had the opportunity today to sample your amazing pizzas,opportunity today sample amazing pizzas
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,we waited for thirty minutes to be seated although there were 8 vacant tables and we were the only folks waiting,waited thirty minutes seated although 8 vacant tables folks waiting
The yellowtail carpaccio was melt in your mouth fresh.,1,the yellowtail carpaccio was melt in your mouth fresh,yellowtail carpaccio melt mouth fresh
I won't try going back there even if it's empty.,0,i will not try going back there even if it is empty,try going back even empty
"No, I'm going to eat the potato that I found some strangers hair in it.",0,no i am going to eat the potato that i found some strangers hair in it,going eat potato found strangers hair
Just spicy enough.. Perfect actually.,1,just spicy enough .. perfect actually,spicy enough .. perfect actually
Last night was my second time dining here and I was so happy I decided to go back!,1,last night was my second time dining here and i was so happy i decided to go back,last night second time dining happy decided go back
"not even a ""hello, we will be right with you.""",0,not even a `` hello we will be right with you '',even `` hello right ``
The desserts were a bit strange.,0,the desserts were a bit strange,desserts bit strange
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service,boyfriend came first time recent trip vegas could pleased quality food service
"I really do recommend this place, you can go wrong with this donut place!",1,i really do recommend this place you can go wrong with this donut place,really recommend place go wrong donut place
Nice ambiance.,1,nice ambiance,nice ambiance
I would recommend saving room for this!,1,i would recommend saving room for this,would recommend saving room
I guess maybe we went on an off night but it was disgraceful.,0,i guess maybe we went on an off night but it was disgraceful,guess maybe went night disgraceful
"However, my recent experience at this particular location was not so good.",0,however my recent experience at this particular location was not so good,however recent experience particular location good
"I know this is not like the other restaurants at all, something is very off here!",0,i know this is not like the other restaurants at all something is very off here,know like restaurants something
AVOID THIS ESTABLISHMENT!,0,avoid this establishment,avoid establishment
I think this restaurant suffers from not trying hard enough.,0,i think this restaurant suffers from not trying hard enough,think restaurant suffers trying hard enough
All of the tapas dishes were delicious!,1,all of the tapas dishes were delicious,tapas dishes delicious
I *heart* this place.,1,i heart this place,heart place
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,my salad had a bland vinegrette on the baby greens and hearts of palm,salad bland vinegrette baby greens hearts palm
After two I felt disgusting.,0,after two i felt disgusting,two felt disgusting
A good time!,1,a good time,good time
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,i believe that this place is a great stop for those with a huge belly and hankering for sushi,believe place great stop huge belly hankering sushi
Generous portions and great taste.,1,generous portions and great taste,generous portions great taste
I will never go back to this place and will never ever recommended this place to anyone!,0,i will never go back to this place and will never ever recommended this place to anyone,never go back place never ever recommended place anyone
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,the servers went back and forth several times not even so much as an `` are you being helped '',servers went back forth several times even much `` helped ``
Food was delicious!,1,food was delicious,food delicious
AN HOUR... seriously?,0,an hour ... seriously,hour ... seriously
I consider this theft.,0,i consider this theft,consider theft
Eew... This location needs a complete overhaul.,0,eew ... this location needs a complete overhaul,eew ... location needs complete overhaul
We recently witnessed her poor quality of management towards other guests as well.,0,we recently witnessed her poor quality of management towards other guests as well,recently witnessed poor quality management towards guests well
Waited and waited and waited.,0,waited and waited and waited,waited waited waited
"He also came back to check on us regularly, excellent service.",1,he also came back to check on us regularly excellent service,also came back check us regularly excellent service
Our server was super nice and checked on us many times.,1,our server was super nice and checked on us many times,server super nice checked us many times
"The pizza tasted old, super chewy in not a good way.",0,the pizza tasted old super chewy in not a good way,pizza tasted old super chewy good way
I swung in to give them a try but was deeply disappointed.,0,i swung in to give them a try but was deeply disappointed,swung give try deeply disappointed
Service was good and the company was better!,1,service was good and the company was better,service good company better
The staff are also very friendly and efficient.,1,the staff are also very friendly and efficient,staff also friendly efficient
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,as for the service i am a fan because it is quick and you are being served by some nice folks,service fan quick served nice folks
Boy was that sucker dry!!.,0,boy was that sucker dry,boy sucker dry
Over rated.,0,over rated,rated
"If you look for authentic Thai food, go else where.",0,if you look for authentic thai food go else where,look authentic thai food go else
Their steaks are 100% recommended!,1,their steaks are 100 recommended,steaks 100 recommended
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,after i pulled up my car i waited for another 15 minutes before being acknowledged,pulled car waited another 15 minutes acknowledged
Great food and great service in a clean and friendly setting.,1,great food and great service in a clean and friendly setting,great food great service clean friendly setting
"All in all, I can assure you I'll be back.",1,all in all i can assure you i will be back,assure back
I hate those things as much as cheap quality black olives.,0,i hate those things as much as cheap quality black olives,hate things much cheap quality black olives
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,my breakfast was perpared great with a beautiful presentation of 3 giant slices of toast lightly dusted with powdered sugar,breakfast perpared great beautiful presentation 3 giant slices toast lightly dusted powdered sugar
The kids play area is NASTY!,0,the kids play area is nasty,kids play area nasty
Great place fo take out or eat in.,1,great place fo take out or eat in,great place fo take eat
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,the waitress was friendly and happy to accomodate for vegan/veggie options,waitress friendly happy accomodate vegan/veggie options
OMG I felt like I had never eaten Thai food until this dish.,1,omg i felt like i had never eaten thai food until this dish,omg felt like never eaten thai food dish
"It was extremely ""crumby"" and pretty tasteless.",0,it was extremely `` crumby '' and pretty tasteless,extremely `` crumby `` pretty tasteless
It was a pale color instead of nice and char and has NO flavor.,0,it was a pale color instead of nice and char and has no flavor,pale color instead nice char flavor
The croutons also taste homemade which is an extra plus.,1,the croutons also taste homemade which is an extra plus,croutons also taste homemade extra plus
I got home to see the driest damn wings ever!,0,i got home to see the driest damn wings ever,got home see driest damn wings ever
It'll be a regular stop on my trips to Phoenix!,1,it will be a regular stop on my trips to phoenix,regular stop trips phoenix
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1,i really enjoyed crema café before they expanded i even told friends they had the best breakfast,really enjoyed crema café expanded even told friends best breakfast
Not good for the money.,0,not good for the money,good money
I miss it and wish they had one in Philadelphia!,1,i miss it and wish they had one in philadelphia,miss wish one philadelphia
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,we got sitting fairly fast but ended up waiting 40 minutes just to place our order another 30 minutes before the food arrived,got sitting fairly fast ended waiting 40 minutes place order another 30 minutes food arrived
They also have the best cheese crisp in town.,1,they also have the best cheese crisp in town,also best cheese crisp town
"Good value, great food, great service.",1,good value great food great service,good value great food great service
Couldn't ask for a more satisfying meal.,1,could not ask for a more satisfying meal,could ask satisfying meal
The food is good.,1,the food is good,food good
It was awesome.,1,it was awesome,awesome
I just wanted to leave.,0,i just wanted to leave,wanted leave
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,we made the drive all the way from north scottsdale ... and i was not one bit disappointed,made drive way north scottsdale ... one bit disappointed
I will not be eating there again.,0,i will not be eating there again,eating
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,.... the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one,.... owners really really need quit soooooo cheap let wrap freaking sandwich two papers one
I checked out this place a couple years ago and was not impressed.,0,i checked out this place a couple years ago and was not impressed,checked place couple years ago impressed
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,the chicken i got was definitely reheated and was only ok the wedges were cold and soggy,chicken got definitely reheated ok wedges cold soggy
"Sorry, I will not be getting food from here anytime soon :(",0,sorry i will not be getting food from here anytime soon,sorry getting food anytime soon
An absolute must visit!,1,an absolute must visit,absolute must visit
The cow tongue and cheek tacos are amazing.,1,the cow tongue and cheek tacos are amazing,cow tongue cheek tacos amazing
My friend did not like his Bloody Mary.,0,my friend did not like his bloody mary,friend like bloody mary
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,despite how hard i rate businesses its actually rare for me to give a 1 star,despite hard rate businesses actually rare give 1 star
They really want to make your experience a good one.,1,they really want to make your experience a good one,really want make experience good one
I will not return.,0,i will not return,return
I had the chicken Pho and it tasted very bland.,0,i had the chicken pho and it tasted very bland,chicken pho tasted bland
Very disappointing!!!,0,very disappointing,disappointing
The grilled chicken was so tender and yellow from the saffron seasoning.,1,the grilled chicken was so tender and yellow from the saffron seasoning,grilled chicken tender yellow saffron seasoning
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait,drive thru means want wait around half hour food somehow end going make us wait wait
Pretty awesome place.,1,pretty awesome place,pretty awesome place
Ambience is perfect.,1,ambience is perfect,ambience perfect
Best of luck to the rude and non-customer service focused new management.,0,best of luck to the rude and non-customer service focused new management,best luck rude non-customer service focused new management
Any grandmother can make a roasted chicken better than this one.,0,any grandmother can make a roasted chicken better than this one,grandmother make roasted chicken better one
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself,asked multiple times wine list time ignored went hostess got one
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby,staff always super friendly helpful especially cool bring two small boys baby
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat,four stars food guy blue shirt great vibe still letting us eat
The roast beef sandwich tasted really good!,1,the roast beef sandwich tasted really good,roast beef sandwich tasted really good
"Same evening, him and I are both drastically sick.",0,same evening him and i are both drastically sick,evening drastically sick
High-quality chicken on the chicken Caesar salad.,1,high-quality chicken on the chicken caesar salad,high-quality chicken chicken caesar salad
Ordered burger rare came in we'll done.,0,ordered burger rare came in we will done,ordered burger rare came done
We were promptly greeted and seated.,1,we were promptly greeted and seated,promptly greeted seated
Tried to go here for lunch and it was a madhouse.,0,tried to go here for lunch and it was a madhouse,tried go lunch madhouse
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable,proven dead wrong sushi bar quality great service fast food impeccable
"After waiting an hour and being seated, I was not in the greatest of moods.",0,after waiting an hour and being seated i was not in the greatest of moods,waiting hour seated greatest moods
This is a good joint.,1,this is a good joint,good joint
The Macarons here are insanely good.,1,the macarons here are insanely good,macarons insanely good
I'm not eating here!,0,i am not eating here,eating
"Our waiter was very attentive, friendly, and informative.",1,our waiter was very attentive friendly and informative,waiter attentive friendly informative
Maybe if they weren't cold they would have been somewhat edible.,0,maybe if they were not cold they would have been somewhat edible,maybe cold would somewhat edible
This place has a lot of promise but fails to deliver.,0,this place has a lot of promise but fails to deliver,place lot promise fails deliver
Very bad Experience!,0,very bad experience,bad experience
What a mistake.,0,what a mistake,mistake
Food was average at best.,0,food was average at best,food average best
Great food.,1,great food,great food
We won't be going back anytime soon!,0,we will not be going back anytime soon,going back anytime soon
Very Very Disappointed ordered the $35 Big Bay Plater.,0,very very disappointed ordered the 35 big bay plater,disappointed ordered 35 big bay plater
Great place to relax and have an awesome burger and beer.,1,great place to relax and have an awesome burger and beer,great place relax awesome burger beer
It is PERFECT for a sit-down family meal or get together with a few friends.,1,it is perfect for a sit-down family meal or get together with a few friends,perfect sit-down family meal get together friends
"Not much flavor to them, and very poorly constructed.",0,not much flavor to them and very poorly constructed,much flavor poorly constructed
The patio seating was very comfortable.,1,the patio seating was very comfortable,patio seating comfortable
The fried rice was dry as well.,0,the fried rice was dry as well,fried rice dry well
Hands down my favorite Italian restaurant!,1,hands down my favorite italian restaurant,hands favorite italian restaurant
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,that just screams `` legit '' in my book ... somethat 's also pretty rare here in vegas,screams `` legit `` book ... somethat 's also pretty rare vegas
It was just not a fun experience.,1,it was just not a fun experience,fun experience
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,the atmosphere was great with a lovely duo of violinists playing songs we requested,atmosphere great lovely duo violinists playing songs requested
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,i personally love the hummus pita baklava falafels and baba ganoush it is amazing what they do with eggplant,personally love hummus pita baklava falafels baba ganoush amazing eggplant
"Very convenient, since we were staying at the MGM!",1,very convenient since we were staying at the mgm,convenient since staying mgm
The owners are super friendly and the staff is courteous.,1,the owners are super friendly and the staff is courteous,owners super friendly staff courteous
Both great!,1,both great,great
Eclectic selection.,1,eclectic selection,eclectic selection
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,the sweet potato tots were good but the onion rings were perfection or as close as i have had,sweet potato tots good onion rings perfection close
The staff was very attentive.,1,the staff was very attentive,staff attentive
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,and the chef was generous with his time even came around twice so we can take pictures with him,chef generous time even came around twice take pictures
"The owner used to work at Nobu, so this place is really similar for half the price.",1,the owner used to work at nobu so this place is really similar for half the price,owner used work nobu place really similar half price
Google mediocre and I imagine Smashburger will pop up.,0,google mediocre and i imagine smashburger will pop up,google mediocre imagine smashburger pop
dont go here.,0,do not go here,go
I promise they won't disappoint.,1,i promise they will not disappoint,promise disappoint
As a sushi lover avoid this place by all means.,0,as a sushi lover avoid this place by all means,sushi lover avoid place means
What a great double cheeseburger!,1,what a great double cheeseburger,great double cheeseburger
Awesome service and food.,1,awesome service and food,awesome service food
A fantastic neighborhood gem !!!,1,a fantastic neighborhood gem,fantastic neighborhood gem
I can't wait to go back.,1,i can not wait to go back,wait go back
The plantains were the worst I've ever tasted.,0,the plantains were the worst i have ever tasted,plantains worst ever tasted
It's a great place and I highly recommend it.,1,it is a great place and i highly recommend it,great place highly recommend
Service was slow and not attentive.,0,service was slow and not attentive,service slow attentive
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,i gave it 5 stars then and i am giving it 5 stars now,gave 5 stars giving 5 stars
Your staff spends more time talking to themselves than me.,0,your staff spends more time talking to themselves than me,staff spends time talking
Dessert: Panna Cotta was amazing.,1,dessert panna cotta was amazing,dessert panna cotta amazing
"Very good food, great atmosphere.1",1,very good food great atmosphere.1,good food great atmosphere.1
Damn good steak.,1,damn good steak,damn good steak
Total brunch fail.,0,total brunch fail,total brunch fail
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo,prices reasonable flavors spot sauce home made slaw drenched mayo
"The decor is nice, and the piano music soundtrack is pleasant.",1,the decor is nice and the piano music soundtrack is pleasant,decor nice piano music soundtrack pleasant
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,the steak was amazing ... rge fillet relleno was the best seafood plate i have ever had,steak amazing ... rge fillet relleno best seafood plate ever
"Good food , good service .",1,good food good service,good food good service
It was absolutely amazing.,1,it was absolutely amazing,absolutely amazing
"I probably won't be back, to be honest.",0,i probably will not be back to be honest,probably back honest
will definitely be back!,1,will definitely be back,definitely back
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well,sergeant pepper beef sandwich auju sauce excellent sandwich well
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,hawaiian breeze mango magic and pineapple delight are the smoothies that i have tried so far and they are all good,hawaiian breeze mango magic pineapple delight smoothies tried far good
Went for lunch - service was slow.,0,went for lunch service was slow,went lunch service slow
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed,much say place walked expected amazing quickly disappointed
I was mortified.,0,i was mortified,mortified
"Needless to say, we will never be back here again.",0,needless to say we will never be back here again,needless say never back
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,anyways the food was definitely not filling at all and for the price you pay you should expect more,anyways food definitely filling price pay expect
"The chips that came out were dripping with grease, and mostly not edible.",0,the chips that came out were dripping with grease and mostly not edible,chips came dripping grease mostly edible
I wasn't really impressed with Strip Steak.,0,i was not really impressed with strip steak,really impressed strip steak
Have been going since 2007 and every meal has been awesome!!,1,have been going since 2007 and every meal has been awesome,going since 2007 every meal awesome
Our server was very nice and attentive as were the other serving staff.,1,our server was very nice and attentive as were the other serving staff,server nice attentive serving staff
The cashier was friendly and even brought the food out to me.,1,the cashier was friendly and even brought the food out to me,cashier friendly even brought food
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer,work hospitality industry paradise valley refrained recommending cibo longer
The atmosphere here is fun.,1,the atmosphere here is fun,atmosphere fun
Would not recommend to others.,0,would not recommend to others,would recommend others
"Service is quick and even ""to go"" orders are just like we like it!",1,service is quick and even `` to go '' orders are just like we like it,service quick even `` go `` orders like like
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,i mean really how do you get so famous for your fish and chips when it is so terrible,mean really get famous fish chips terrible
"That said, our mouths and bellies were still quite pleased.",1,that said our mouths and bellies were still quite pleased,said mouths bellies still quite pleased
Not my thing.,0,not my thing,thing
2 Thumbs Up!!,1,2 thumbs up,2 thumbs
If you are reading this please don't go there.,0,if you are reading this please do not go there,reading please go
"I loved the grilled pizza, reminded me of legit Italian pizza.",1,i loved the grilled pizza reminded me of legit italian pizza,loved grilled pizza reminded legit italian pizza
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,only pros large seating area/ nice bar area/ great simple drink menu/ the best brick oven pizza with homemade dough,pros large seating area/ nice bar area/ great simple drink menu/ best brick oven pizza homemade dough
They have a really nice atmosphere.,1,they have a really nice atmosphere,really nice atmosphere
Tonight I had the Elk Filet special...and it sucked.,0,tonight i had the elk filet special ... and it sucked,tonight elk filet special ... sucked
"After one bite, I was hooked.",1,after one bite i was hooked,one bite hooked
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything,ordered old classics new dishes going times sorely disappointed everything
"Cute, quaint, simple, honest.",1,cute quaint simple honest,cute quaint simple honest
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,the chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside,chicken deliciously seasoned perfect fry outside moist chicken inside
"The food was great as always, compliments to the chef.",1,the food was great as always compliments to the chef,food great always compliments chef
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,special thanks to dylan t. for the recommendation on what to order all yummy for my tummy,special thanks dylan t. recommendation order yummy tummy
Awesome selection of beer.,1,awesome selection of beer,awesome selection beer
Great food and awesome service!,1,great food and awesome service,great food awesome service
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,one nice thing was that they added gratuity on the bill since our party was larger than 6 or 8 and they did not expect more tip than that,one nice thing added gratuity bill since party larger 6 8 expect tip
A FLY was in my apple juice.. A FLY!!!!!!!!,0,a fly was in my apple juice .. a fly,fly apple juice .. fly
The Han Nan Chicken was also very tasty.,1,the han nan chicken was also very tasty,han nan chicken also tasty
"As for the service, I thought it was good.",1,as for the service i thought it was good,service thought good
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us,food barely lukewarm must sitting waiting server bring us
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,ryan 's bar is definitely one edinburgh establishment i will not be revisiting,ryan 's bar definitely one edinburgh establishment revisiting
Nicest Chinese restaurant I've been in a while.,1,nicest chinese restaurant i have been in a while,nicest chinese restaurant
"Overall, I like there food and the service.",1,overall i like there food and the service,overall like food service
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world,also serve indian naan bread hummus spicy pine nut sauce world
"Probably never coming back, and wouldn't recommend it.",0,probably never coming back and would not recommend it,probably never coming back would recommend
"Friend's pasta -- also bad, he barely touched it.",0,friend 's pasta -- also bad he barely touched it,friend 's pasta -- also bad barely touched
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,try them in the airport to experience some tasty food and speedy friendly service,try airport experience tasty food speedy friendly service
I love the decor with the Chinese calligraphy wall paper.,1,i love the decor with the chinese calligraphy wall paper,love decor chinese calligraphy wall paper
Never had anything to complain about here.,1,never had anything to complain about here,never anything complain
The restaurant is very clean and has a family restaurant feel to it.,1,the restaurant is very clean and has a family restaurant feel to it,restaurant clean family restaurant feel
It was way over fried.,0,it was way over fried,way fried
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,i am not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place,sure long stood long enough begin feel awkwardly place
"When I opened the sandwich, I was impressed, but not in a good way.",0,when i opened the sandwich i was impressed but not in a good way,opened sandwich impressed good way
Will not be back!,0,will not be back,back
There was a warm feeling with the service and I felt like their guest for a special treat.,1,there was a warm feeling with the service and i felt like their guest for a special treat,warm feeling service felt like guest special treat
An extensive menu provides lots of options for breakfast.,1,an extensive menu provides lots of options for breakfast,extensive menu provides lots options breakfast
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,i always order from the vegetarian menu during dinner which has a wide array of options to choose from,always order vegetarian menu dinner wide array options choose
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,i have watched their prices inflate portions get smaller and management attitudes grow rapidly,watched prices inflate portions get smaller management attitudes grow rapidly
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,wonderful lil tapas and the ambience made me feel all warm and fuzzy inside,wonderful lil tapas ambience made feel warm fuzzy inside
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,i got to enjoy the seafood salad with a fabulous vinegrette,got enjoy seafood salad fabulous vinegrette
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,the wontons were thin not thick and chewy almost melt in your mouth,wontons thin thick chewy almost melt mouth
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,level 5 spicy was perfect where spice did not over-whelm the soup,level 5 spicy perfect spice over-whelm soup
We were sat right on time and our server from the get go was FANTASTIC!,1,we were sat right on time and our server from the get go was fantastic,sat right time server get go fantastic
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,main thing i did not enjoy is that the crowd is of older crowd around mid 30s and up,main thing enjoy crowd older crowd around mid 30s
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,when i am on this side of town this will definitely be a spot i will hit up again,side town definitely spot hit
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,i had to wait over 30 minutes to get my drink and longer to get 2 arepas,wait 30 minutes get drink longer get 2 arepas
This is a GREAT place to eat!,1,this is a great place to eat,great place eat
The jalapeno bacon is soooo good.,1,the jalapeno bacon is soooo good,jalapeno bacon soooo good
The service was poor and thats being nice.,0,the service was poor and that is being nice,service poor nice
"Food was good, service was good, Prices were good.",1,food was good service was good prices were good,food good service good prices good
The place was not clean and the food oh so stale!,0,the place was not clean and the food oh so stale,place clean food oh stale
"The chicken dishes are OK, the beef is like shoe leather.",0,the chicken dishes are ok the beef is like shoe leather,chicken dishes ok beef like shoe leather
But the service was beyond bad.,0,but the service was beyond bad,service beyond bad
"I'm so happy to be here!!!""",1,i am so happy to be here '',happy ``
Tasted like dirt.,0,tasted like dirt,tasted like dirt
One of the few places in Phoenix that I would definately go back to again .,1,one of the few places in phoenix that i would definately go back to again,one places phoenix would definately go back
The block was amazing.,1,the block was amazing,block amazing
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,it is close to my house it is low-key non-fancy affordable prices good food,close house low-key non-fancy affordable prices good food
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,both the hot sour the egg flower soups were absolutely 5 stars,hot sour egg flower soups absolutely 5 stars
My sashimi was poor quality being soggy and tasteless.,0,my sashimi was poor quality being soggy and tasteless,sashimi poor quality soggy tasteless
Great time - family dinner on a Sunday night.,1,great time family dinner on a sunday night,great time family dinner sunday night
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,the food is not tasty at all not to say its `` real traditional hunan style '',food tasty say `` real traditional hunan style ``
"What did bother me, was the slow service.",0,what did bother me was the slow service,bother slow service
The flair bartenders are absolutely amazing!,1,the flair bartenders are absolutely amazing,flair bartenders absolutely amazing
Their frozen margaritas are WAY too sugary for my taste.,0,their frozen margaritas are way too sugary for my taste,frozen margaritas way sugary taste
These were so good we ordered them twice.,1,these were so good we ordered them twice,good ordered twice
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,so in a nutshell 1 the restaraunt smells like a combination of a dirty fish market and a sewer,nutshell 1 restaraunt smells like combination dirty fish market sewer
My girlfriend's veal was very bad.,0,my girlfriend 's veal was very bad,girlfriend 's veal bad
"Unfortunately, it was not good.",0,unfortunately it was not good,unfortunately good
I had a pretty satifying experience.,1,i had a pretty satifying experience,pretty satifying experience
Join the club and get awesome offers via email.,1,join the club and get awesome offers via email,join club get awesome offers via email
