Review,Liked,reviews_cleaned_lemmatized,reviews_cleaned
"Point your finger at any item on the menu, order it and you won't be disappointed.",1,point finger item menu order disappoint,point your finger at any item on the menu order it and you will not be disappointed
"Oh this is such a thing of beauty, this restaurant.",1,oh thing beauty restaurant,oh this is such a thing of beauty this restaurant
If you haven't gone here GO NOW!,1,go go,if you have not gone here go now
"A greasy, unhealthy meal.",0,greasy unhealthy meal,a greasy unhealthy meal
first time there and might just be the last.,0,first time might last,first time there and might just be the last
Those burgers were amazing.,1,burger amaze,those burgers were amazing
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0,similarly delivery man say word apology food 45 minute late,similarly the delivery man did not say a word of apology when our food was 45 minutes late
And it was way to expensive.,0,way expensive,and it was way to expensive
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,sure order dessert even need pack to-go tiramisu cannoli die,be sure to order dessert even if you need to pack it to-go the tiramisu and cannoli are both to die for
This was my first time and I can't wait until the next.,1,first time wait next,this was my first time and i can not wait until the next
The bartender was also nice.,1,bartender also nice,the bartender was also nice
Everything was good and tasty!,1,everything good tasty,everything was good and tasty
This place is two thumbs up....way up.,1,place two thumb .... way,this place is two thumbs up .... way up
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1,best place vega breakfast check sit sun,the best place in vegas for breakfast just check out a sat or sun
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1,love authentic mexican food want whole bunch interest yet delicious meat choose need try place,if you love authentic mexican food and want a whole bunch of interesting yet delicious meats to choose from you need to try this place
Terrible management.,0,terrible management,terrible management
An excellent new restaurant by an experienced Frenchman.,1,excellent new restaurant experience frenchman,an excellent new restaurant by an experienced frenchman
If there were zero stars I would give it zero stars.,0,zero star would give zero star,if there were zero stars i would give it zero stars
"Great steak, great sides, great wine, amazing desserts.",1,great steak great side great wine amazing dessert,great steak great sides great wine amazing desserts
Worst martini ever!,0,bad martini ever,worst martini ever
The steak and the shrimp are in my opinion the best entrees at GC.,1,steak shrimp opinion best entree gc,the steak and the shrimp are in my opinion the best entrees at gc
I had the opportunity today to sample your amazing pizzas!,1,opportunity today sample amaze pizza,i had the opportunity today to sample your amazing pizzas
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,wait thirty minute seat although 8 vacant table folk wait,we waited for thirty minutes to be seated although there were 8 vacant tables and we were the only folks waiting
The yellowtail carpaccio was melt in your mouth fresh.,1,yellowtail carpaccio melt mouth fresh,the yellowtail carpaccio was melt in your mouth fresh
I won't try going back there even if it's empty.,0,try go back even empty,i will not try going back there even if it is empty
"No, I'm going to eat the potato that I found some strangers hair in it.",0,go eat potato find stranger hair,no i am going to eat the potato that i found some strangers hair in it
Just spicy enough.. Perfect actually.,1,spicy enough .. perfect actually,just spicy enough .. perfect actually
Last night was my second time dining here and I was so happy I decided to go back!,1,last night second time din happy decide go back,last night was my second time dining here and i was so happy i decided to go back
"not even a ""hello, we will be right with you.""",0,even `` hello right ``,not even a `` hello we will be right with you ''
The desserts were a bit strange.,0,dessert bit strange,the desserts were a bit strange
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,boyfriend come first time recent trip vega could pleased quality food service,my boyfriend and i came here for the first time on a recent trip to vegas and could not have been more pleased with the quality of food and service
"I really do recommend this place, you can go wrong with this donut place!",1,really recommend place go wrong donut place,i really do recommend this place you can go wrong with this donut place
Nice ambiance.,1,nice ambiance,nice ambiance
I would recommend saving room for this!,1,would recommend save room,i would recommend saving room for this
I guess maybe we went on an off night but it was disgraceful.,0,guess maybe go night disgraceful,i guess maybe we went on an off night but it was disgraceful
"However, my recent experience at this particular location was not so good.",0,however recent experience particular location good,however my recent experience at this particular location was not so good
"I know this is not like the other restaurants at all, something is very off here!",0,know like restaurant something,i know this is not like the other restaurants at all something is very off here
AVOID THIS ESTABLISHMENT!,0,avoid establishment,avoid this establishment
I think this restaurant suffers from not trying hard enough.,0,think restaurant suffers try hard enough,i think this restaurant suffers from not trying hard enough
All of the tapas dishes were delicious!,1,tapa dish delicious,all of the tapas dishes were delicious
I *heart* this place.,1,heart place,i heart this place
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0,salad bland vinegrette baby green heart palm,my salad had a bland vinegrette on the baby greens and hearts of palm
After two I felt disgusting.,0,two felt disgust,after two i felt disgusting
A good time!,1,good time,a good time
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,believe place great stop huge belly hanker sushi,i believe that this place is a great stop for those with a huge belly and hankering for sushi
Generous portions and great taste.,1,generous portion great taste,generous portions and great taste
I will never go back to this place and will never ever recommended this place to anyone!,0,never go back place never ever recommended place anyone,i will never go back to this place and will never ever recommended this place to anyone
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0,server go back forth several time even much `` help ``,the servers went back and forth several times not even so much as an `` are you being helped ''
Food was delicious!,1,food delicious,food was delicious
AN HOUR... seriously?,0,hour ... seriously,an hour ... seriously
I consider this theft.,0,consider theft,i consider this theft
Eew... This location needs a complete overhaul.,0,eew ... location need complete overhaul,eew ... this location needs a complete overhaul
We recently witnessed her poor quality of management towards other guests as well.,0,recently witness poor quality management towards guest well,we recently witnessed her poor quality of management towards other guests as well
Waited and waited and waited.,0,wait wait waited,waited and waited and waited
"He also came back to check on us regularly, excellent service.",1,also come back check u regularly excellent service,he also came back to check on us regularly excellent service
Our server was super nice and checked on us many times.,1,server super nice check u many time,our server was super nice and checked on us many times
"The pizza tasted old, super chewy in not a good way.",0,pizza taste old super chewy good way,the pizza tasted old super chewy in not a good way
I swung in to give them a try but was deeply disappointed.,0,swung give try deeply disappoint,i swung in to give them a try but was deeply disappointed
Service was good and the company was better!,1,service good company well,service was good and the company was better
The staff are also very friendly and efficient.,1,staff also friendly efficient,the staff are also very friendly and efficient
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,service fan quick serve nice folk,as for the service i am a fan because it is quick and you are being served by some nice folks
Boy was that sucker dry!!.,0,boy sucker dry,boy was that sucker dry
Over rated.,0,rat,over rated
"If you look for authentic Thai food, go else where.",0,look authentic thai food go else,if you look for authentic thai food go else where
Their steaks are 100% recommended!,1,steak 100 recommend,their steaks are 100 recommended
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,pulled car wait another 15 minute acknowledge,after i pulled up my car i waited for another 15 minutes before being acknowledged
Great food and great service in a clean and friendly setting.,1,great food great service clean friendly set,great food and great service in a clean and friendly setting
"All in all, I can assure you I'll be back.",1,assure back,all in all i can assure you i will be back
I hate those things as much as cheap quality black olives.,0,hate thing much cheap quality black olive,i hate those things as much as cheap quality black olives
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,breakfast perpared great beautiful presentation 3 giant slice toast lightly dust powdered sugar,my breakfast was perpared great with a beautiful presentation of 3 giant slices of toast lightly dusted with powdered sugar
The kids play area is NASTY!,0,kid play area nasty,the kids play area is nasty
Great place fo take out or eat in.,1,great place fo take eat,great place fo take out or eat in
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,waitress friendly happy accomodate vegan/veggie option,the waitress was friendly and happy to accomodate for vegan/veggie options
OMG I felt like I had never eaten Thai food until this dish.,1,omg felt like never eat thai food dish,omg i felt like i had never eaten thai food until this dish
"It was extremely ""crumby"" and pretty tasteless.",0,extremely `` crumby `` pretty tasteless,it was extremely `` crumby '' and pretty tasteless
It was a pale color instead of nice and char and has NO flavor.,0,pale color instead nice char flavor,it was a pale color instead of nice and char and has no flavor
The croutons also taste homemade which is an extra plus.,1,crouton also taste homemade extra plus,the croutons also taste homemade which is an extra plus
I got home to see the driest damn wings ever!,0,get home see dry damn wing ever,i got home to see the driest damn wings ever
It'll be a regular stop on my trips to Phoenix!,1,regular stop trip phoenix,it will be a regular stop on my trips to phoenix
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1,really enjoy crema café expand even told friend best breakfast,i really enjoyed crema café before they expanded i even told friends they had the best breakfast
Not good for the money.,0,good money,not good for the money
I miss it and wish they had one in Philadelphia!,1,miss wish one philadelphia,i miss it and wish they had one in philadelphia
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,get sit fairly fast end wait 40 minute place order another 30 minute food arrive,we got sitting fairly fast but ended up waiting 40 minutes just to place our order another 30 minutes before the food arrived
They also have the best cheese crisp in town.,1,also best cheese crisp town,they also have the best cheese crisp in town
"Good value, great food, great service.",1,good value great food great service,good value great food great service
Couldn't ask for a more satisfying meal.,1,could ask satisfy meal,could not ask for a more satisfying meal
The food is good.,1,food good,the food is good
It was awesome.,1,awesome,it was awesome
I just wanted to leave.,0,want leave,i just wanted to leave
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,make drive way north scottsdale ... one bit disappointed,we made the drive all the way from north scottsdale ... and i was not one bit disappointed
I will not be eating there again.,0,eat,i will not be eating there again
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,.... owner really really need quit soooooo cheap let wrap freak sandwich two paper one,.... the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one
I checked out this place a couple years ago and was not impressed.,0,checked place couple year ago impress,i checked out this place a couple years ago and was not impressed
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,chicken get definitely reheat ok wedge cold soggy,the chicken i got was definitely reheated and was only ok the wedges were cold and soggy
"Sorry, I will not be getting food from here anytime soon :(",0,sorry get food anytime soon,sorry i will not be getting food from here anytime soon
An absolute must visit!,1,absolute must visit,an absolute must visit
The cow tongue and cheek tacos are amazing.,1,cow tongue cheek taco amaze,the cow tongue and cheek tacos are amazing
My friend did not like his Bloody Mary.,0,friend like bloody mary,my friend did not like his bloody mary
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,despite hard rate business actually rare give 1 star,despite how hard i rate businesses its actually rare for me to give a 1 star
They really want to make your experience a good one.,1,really want make experience good one,they really want to make your experience a good one
I will not return.,0,return,i will not return
I had the chicken Pho and it tasted very bland.,0,chicken pho taste bland,i had the chicken pho and it tasted very bland
Very disappointing!!!,0,disappoint,very disappointing
The grilled chicken was so tender and yellow from the saffron seasoning.,1,grill chicken tender yellow saffron season,the grilled chicken was so tender and yellow from the saffron seasoning
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,drive thru mean want wait around half hour food somehow end go make u wait wait,a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait
Pretty awesome place.,1,pretty awesome place,pretty awesome place
Ambience is perfect.,1,ambience perfect,ambience is perfect
Best of luck to the rude and non-customer service focused new management.,0,best luck rude non-customer service focus new management,best of luck to the rude and non-customer service focused new management
Any grandmother can make a roasted chicken better than this one.,0,grandmother make roasted chicken well one,any grandmother can make a roasted chicken better than this one
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,ask multiple time wine list time ignore go hostess get one,i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,staff always super friendly helpful especially cool bring two small boy baby,the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,four star food guy blue shirt great vibe still let u eat,four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat
The roast beef sandwich tasted really good!,1,roast beef sandwich taste really good,the roast beef sandwich tasted really good
"Same evening, him and I are both drastically sick.",0,even drastically sick,same evening him and i are both drastically sick
High-quality chicken on the chicken Caesar salad.,1,high-quality chicken chicken caesar salad,high-quality chicken on the chicken caesar salad
Ordered burger rare came in we'll done.,0,order burger rare come do,ordered burger rare came in we will done
We were promptly greeted and seated.,1,promptly greet seat,we were promptly greeted and seated
Tried to go here for lunch and it was a madhouse.,0,try go lunch madhouse,tried to go here for lunch and it was a madhouse
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,proven dead wrong sushi bar quality great service fast food impeccable,i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable
"After waiting an hour and being seated, I was not in the greatest of moods.",0,wait hour seat great mood,after waiting an hour and being seated i was not in the greatest of moods
This is a good joint.,1,good joint,this is a good joint
The Macarons here are insanely good.,1,macarons insanely good,the macarons here are insanely good
I'm not eating here!,0,eat,i am not eating here
"Our waiter was very attentive, friendly, and informative.",1,waiter attentive friendly informative,our waiter was very attentive friendly and informative
Maybe if they weren't cold they would have been somewhat edible.,0,maybe cold would somewhat edible,maybe if they were not cold they would have been somewhat edible
This place has a lot of promise but fails to deliver.,0,place lot promise fail deliver,this place has a lot of promise but fails to deliver
Very bad Experience!,0,bad experience,very bad experience
What a mistake.,0,mistake,what a mistake
Food was average at best.,0,food average best,food was average at best
Great food.,1,great food,great food
We won't be going back anytime soon!,0,go back anytime soon,we will not be going back anytime soon
Very Very Disappointed ordered the $35 Big Bay Plater.,0,disappoint order 35 big bay plater,very very disappointed ordered the 35 big bay plater
Great place to relax and have an awesome burger and beer.,1,great place relax awesome burger beer,great place to relax and have an awesome burger and beer
It is PERFECT for a sit-down family meal or get together with a few friends.,1,perfect sit-down family meal get together friend,it is perfect for a sit-down family meal or get together with a few friends
"Not much flavor to them, and very poorly constructed.",0,much flavor poorly construct,not much flavor to them and very poorly constructed
The patio seating was very comfortable.,1,patio seat comfortable,the patio seating was very comfortable
The fried rice was dry as well.,0,fried rice dry well,the fried rice was dry as well
Hands down my favorite Italian restaurant!,1,hand favorite italian restaurant,hands down my favorite italian restaurant
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,scream `` legit `` book ... somethat 's also pretty rare vega,that just screams `` legit '' in my book ... somethat 's also pretty rare here in vegas
It was just not a fun experience.,1,fun experience,it was just not a fun experience
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,atmosphere great lovely duo violinist play song request,the atmosphere was great with a lovely duo of violinists playing songs we requested
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,personally love hummus pita baklava falafel baba ganoush amazing eggplant,i personally love the hummus pita baklava falafels and baba ganoush it is amazing what they do with eggplant
"Very convenient, since we were staying at the MGM!",1,convenient since stay mgm,very convenient since we were staying at the mgm
The owners are super friendly and the staff is courteous.,1,owner super friendly staff courteous,the owners are super friendly and the staff is courteous
Both great!,1,great,both great
Eclectic selection.,1,eclectic selection,eclectic selection
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,sweet potato tot good onion ring perfection close,the sweet potato tots were good but the onion rings were perfection or as close as i have had
The staff was very attentive.,1,staff attentive,the staff was very attentive
And the chef was generous with his time (even came around twice so we can take pictures with him).,1,chef generous time even come around twice take picture,and the chef was generous with his time even came around twice so we can take pictures with him
"The owner used to work at Nobu, so this place is really similar for half the price.",1,owner use work nobu place really similar half price,the owner used to work at nobu so this place is really similar for half the price
Google mediocre and I imagine Smashburger will pop up.,0,google mediocre imagine smashburger pop,google mediocre and i imagine smashburger will pop up
dont go here.,0,go,do not go here
I promise they won't disappoint.,1,promise disappoint,i promise they will not disappoint
As a sushi lover avoid this place by all means.,0,sushi lover avoid place mean,as a sushi lover avoid this place by all means
What a great double cheeseburger!,1,great double cheeseburger,what a great double cheeseburger
Awesome service and food.,1,awesome service food,awesome service and food
A fantastic neighborhood gem !!!,1,fantastic neighborhood gem,a fantastic neighborhood gem
I can't wait to go back.,1,wait go back,i can not wait to go back
The plantains were the worst I've ever tasted.,0,plantain worst ever taste,the plantains were the worst i have ever tasted
It's a great place and I highly recommend it.,1,great place highly recommend,it is a great place and i highly recommend it
Service was slow and not attentive.,0,service slow attentive,service was slow and not attentive
"I gave it 5 stars then, and I'm giving it 5 stars now.",1,give 5 star give 5 star,i gave it 5 stars then and i am giving it 5 stars now
Your staff spends more time talking to themselves than me.,0,staff spend time talk,your staff spends more time talking to themselves than me
Dessert: Panna Cotta was amazing.,1,dessert panna cotta amaze,dessert panna cotta was amazing
"Very good food, great atmosphere.1",1,good food great atmosphere.1,very good food great atmosphere.1
Damn good steak.,1,damn good steak,damn good steak
Total brunch fail.,0,total brunch fail,total brunch fail
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,price reasonable flavor spot sauce home make slaw drench mayo,prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo
"The decor is nice, and the piano music soundtrack is pleasant.",1,decor nice piano music soundtrack pleasant,the decor is nice and the piano music soundtrack is pleasant
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,steak amazing ... rge fillet relleno best seafood plate ever,the steak was amazing ... rge fillet relleno was the best seafood plate i have ever had
"Good food , good service .",1,good food good service,good food good service
It was absolutely amazing.,1,absolutely amaze,it was absolutely amazing
"I probably won't be back, to be honest.",0,probably back honest,i probably will not be back to be honest
will definitely be back!,1,definitely back,will definitely be back
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,sergeant pepper beef sandwich auju sauce excellent sandwich well,the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,hawaiian breeze mango magic pineapple delight smoothy try far good,hawaiian breeze mango magic and pineapple delight are the smoothies that i have tried so far and they are all good
Went for lunch - service was slow.,0,go lunch service slow,went for lunch service was slow
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,much say place walk expect amazing quickly disappoint,we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed
I was mortified.,0,mortify,i was mortified
"Needless to say, we will never be back here again.",0,needless say never back,needless to say we will never be back here again
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,anyways food definitely filling price pay expect,anyways the food was definitely not filling at all and for the price you pay you should expect more
"The chips that came out were dripping with grease, and mostly not edible.",0,chip come drip grease mostly edible,the chips that came out were dripping with grease and mostly not edible
I wasn't really impressed with Strip Steak.,0,really impressed strip steak,i was not really impressed with strip steak
Have been going since 2007 and every meal has been awesome!!,1,go since 2007 every meal awesome,have been going since 2007 and every meal has been awesome
Our server was very nice and attentive as were the other serving staff.,1,server nice attentive serving staff,our server was very nice and attentive as were the other serving staff
The cashier was friendly and even brought the food out to me.,1,cashier friendly even bring food,the cashier was friendly and even brought the food out to me
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,work hospitality industry paradise valley refrain recommend cibo longer,i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer
The atmosphere here is fun.,1,atmosphere fun,the atmosphere here is fun
Would not recommend to others.,0,would recommend others,would not recommend to others
"Service is quick and even ""to go"" orders are just like we like it!",1,service quick even `` go `` order like like,service is quick and even `` to go '' orders are just like we like it
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,mean really get famous fish chip terrible,i mean really how do you get so famous for your fish and chips when it is so terrible
"That said, our mouths and bellies were still quite pleased.",1,say mouth belly still quite pleased,that said our mouths and bellies were still quite pleased
Not my thing.,0,thing,not my thing
2 Thumbs Up!!,1,2 thumb,2 thumbs up
If you are reading this please don't go there.,0,read please go,if you are reading this please do not go there
"I loved the grilled pizza, reminded me of legit Italian pizza.",1,love grilled pizza remind legit italian pizza,i loved the grilled pizza reminded me of legit italian pizza
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,pro large seat area/ nice bar area/ great simple drink menu/ best brick oven pizza homemade dough,only pros large seating area/ nice bar area/ great simple drink menu/ the best brick oven pizza with homemade dough
They have a really nice atmosphere.,1,really nice atmosphere,they have a really nice atmosphere
Tonight I had the Elk Filet special...and it sucked.,0,tonight elk filet special ... suck,tonight i had the elk filet special ... and it sucked
"After one bite, I was hooked.",1,one bite hook,after one bite i was hooked
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,order old classic new dish go time sorely disappoint everything,we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything
"Cute, quaint, simple, honest.",1,cute quaint simple honest,cute quaint simple honest
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,chicken deliciously season perfect fry outside moist chicken inside,the chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside
"The food was great as always, compliments to the chef.",1,food great always compliment chef,the food was great as always compliments to the chef
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,special thanks dylan t. recommendation order yummy tummy,special thanks to dylan t. for the recommendation on what to order all yummy for my tummy
Awesome selection of beer.,1,awesome selection beer,awesome selection of beer
Great food and awesome service!,1,great food awesome service,great food and awesome service
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,one nice thing add gratuity bill since party large 6 8 expect tip,one nice thing was that they added gratuity on the bill since our party was larger than 6 or 8 and they did not expect more tip than that
A FLY was in my apple juice.. A FLY!!!!!!!!,0,fly apple juice .. fly,a fly was in my apple juice .. a fly
The Han Nan Chicken was also very tasty.,1,han nan chicken also tasty,the han nan chicken was also very tasty
"As for the service, I thought it was good.",1,service think good,as for the service i thought it was good
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,food barely lukewarm must sit wait server bring u,the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,ryan 's bar definitely one edinburgh establishment revisit,ryan 's bar is definitely one edinburgh establishment i will not be revisiting
Nicest Chinese restaurant I've been in a while.,1,nice chinese restaurant,nicest chinese restaurant i have been in a while
"Overall, I like there food and the service.",1,overall like food service,overall i like there food and the service
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,also serve indian naan bread hummus spicy pine nut sauce world,they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world
"Probably never coming back, and wouldn't recommend it.",0,probably never come back would recommend,probably never coming back and would not recommend it
"Friend's pasta -- also bad, he barely touched it.",0,friend 's pasta -- also bad barely touch,friend 's pasta -- also bad he barely touched it
"Try them in the airport to experience some tasty food and speedy, friendly service.",1,try airport experience tasty food speedy friendly service,try them in the airport to experience some tasty food and speedy friendly service
I love the decor with the Chinese calligraphy wall paper.,1,love decor chinese calligraphy wall paper,i love the decor with the chinese calligraphy wall paper
Never had anything to complain about here.,1,never anything complain,never had anything to complain about here
The restaurant is very clean and has a family restaurant feel to it.,1,restaurant clean family restaurant feel,the restaurant is very clean and has a family restaurant feel to it
It was way over fried.,0,way fry,it was way over fried
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,sure long stood long enough begin feel awkwardly place,i am not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place
"When I opened the sandwich, I was impressed, but not in a good way.",0,open sandwich impress good way,when i opened the sandwich i was impressed but not in a good way
Will not be back!,0,back,will not be back
There was a warm feeling with the service and I felt like their guest for a special treat.,1,warm feeling service felt like guest special treat,there was a warm feeling with the service and i felt like their guest for a special treat
An extensive menu provides lots of options for breakfast.,1,extensive menu provide lot option breakfast,an extensive menu provides lots of options for breakfast
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,always order vegetarian menu dinner wide array option choose,i always order from the vegetarian menu during dinner which has a wide array of options to choose from
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,watched price inflate portion get small management attitude grow rapidly,i have watched their prices inflate portions get smaller and management attitudes grow rapidly
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,wonderful lil tapa ambience make feel warm fuzzy inside,wonderful lil tapas and the ambience made me feel all warm and fuzzy inside
"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,get enjoy seafood salad fabulous vinegrette,i got to enjoy the seafood salad with a fabulous vinegrette
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,wonton thin thick chewy almost melt mouth,the wontons were thin not thick and chewy almost melt in your mouth
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,level 5 spicy perfect spice over-whelm soup,level 5 spicy was perfect where spice did not over-whelm the soup
We were sat right on time and our server from the get go was FANTASTIC!,1,sat right time server get go fantastic,we were sat right on time and our server from the get go was fantastic
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,main thing enjoy crowd old crowd around mid 30,main thing i did not enjoy is that the crowd is of older crowd around mid 30s and up
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,side town definitely spot hit,when i am on this side of town this will definitely be a spot i will hit up again
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,wait 30 minute get drink long get 2 arepas,i had to wait over 30 minutes to get my drink and longer to get 2 arepas
This is a GREAT place to eat!,1,great place eat,this is a great place to eat
The jalapeno bacon is soooo good.,1,jalapeno bacon soooo good,the jalapeno bacon is soooo good
The service was poor and thats being nice.,0,service poor nice,the service was poor and that is being nice
"Food was good, service was good, Prices were good.",1,food good service good price good,food was good service was good prices were good
The place was not clean and the food oh so stale!,0,place clean food oh stale,the place was not clean and the food oh so stale
"The chicken dishes are OK, the beef is like shoe leather.",0,chicken dish ok beef like shoe leather,the chicken dishes are ok the beef is like shoe leather
But the service was beyond bad.,0,service beyond bad,but the service was beyond bad
"I'm so happy to be here!!!""",1,happy ``,i am so happy to be here ''
Tasted like dirt.,0,taste like dirt,tasted like dirt
One of the few places in Phoenix that I would definately go back to again .,1,one place phoenix would definately go back,one of the few places in phoenix that i would definately go back to again
The block was amazing.,1,block amazing,the block was amazing
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,close house low-key non-fancy affordable price good food,it is close to my house it is low-key non-fancy affordable prices good food
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,hot sour egg flower soup absolutely 5 star,both the hot sour the egg flower soups were absolutely 5 stars
My sashimi was poor quality being soggy and tasteless.,0,sashimi poor quality soggy tasteless,my sashimi was poor quality being soggy and tasteless
Great time - family dinner on a Sunday night.,1,great time family dinner sunday night,great time family dinner on a sunday night
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,food tasty say `` real traditional hunan style ``,the food is not tasty at all not to say its `` real traditional hunan style ''
"What did bother me, was the slow service.",0,bother slow service,what did bother me was the slow service
The flair bartenders are absolutely amazing!,1,flair bartender absolutely amaze,the flair bartenders are absolutely amazing
Their frozen margaritas are WAY too sugary for my taste.,0,frozen margarita way sugary taste,their frozen margaritas are way too sugary for my taste
These were so good we ordered them twice.,1,good order twice,these were so good we ordered them twice
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,nutshell 1 restaraunt smell like combination dirty fish market sewer,so in a nutshell 1 the restaraunt smells like a combination of a dirty fish market and a sewer
My girlfriend's veal was very bad.,0,girlfriend 's veal bad,my girlfriend 's veal was very bad
"Unfortunately, it was not good.",0,unfortunately good,unfortunately it was not good
I had a pretty satifying experience.,1,pretty satifying experience,i had a pretty satifying experience
Join the club and get awesome offers via email.,1,join club get awesome offer via email,join the club and get awesome offers via email
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,perfect someone like beer ice cold case even colder,perfect for someone me who only likes beer ice cold or in this case even colder
Bland and flavorless is a good way of describing the barely tepid meat.,0,bland flavorless good way describe barely tepid meat,bland and flavorless is a good way of describing the barely tepid meat
"The chains, which I'm no fan of, beat this place easily.",0,chain fan beat place easily,the chains which i am no fan of beat this place easily
The nachos are a MUST HAVE!,1,nacho must,the nachos are a must have
We will not be coming back.,0,come back,we will not be coming back
"I don't have very many words to say about this place, but it does everything pretty well.",1,many word say place everything pretty well,i do not have very many words to say about this place but it does everything pretty well
